player_display_name,player_name,position,recent_team,season,games,data_source,receiving_yards,receptions,targets,receiving_tds,receiving_epa,target_share,air_yards_share,wopr,catchRate,aDOT,yacPerRec,rushing_yards,carries,rushing_tds,rushing_epa,ypc,passing_yards,attempts,completions,passing_tds,passing_interceptions,passing_epa
Kenny McIntosh,K.McIntosh,RB,SEA,2025,11,reg_2024_baseline,22,3,4,0,-0.404057139356155,0.0070298769771529,0.001215362177929,0.0113955689902797,0.75,,,172,31,0,1.48807978018885,5.548387096774194,0,0,0,0,0,
Rakim Jarrett,R.Jarrett,WR,TB,2025,8,reg_2024_baseline,124,9,11,0,7.41458555612858,0.019538188277087,0.0320060483870968,0.0517115162865983,0.8181818181818182,,,0,0,0,,,0,0,0,0,0,
John Shenker,J.Shenker,TE,LV,2025,3,reg_2024_baseline,7,1,1,0,0.374102335888892,0.0016891891891891,0.0008978675645342,0.0031622910789577,1.0,,,0,0,0,,,0,0,0,0,0,
Tyler Scott,T.Scott,WR,CHI,2025,4,reg_2024_baseline,5,1,1,0,-0.072181174706202,0.0019011406844106,-0.0004411116012351,0.0025429329057513,1.0,,,0,0,0,,,0,0,0,0,0,
Tank Dell,T.Dell,WR,HOU,2025,14,reg_2024_baseline,667,51,81,3,21.8984566964169,0.148080438756856,0.218353750268644,0.374968283323334,0.6296296296296297,,,43,9,0,-2.26305238634814,4.777777777777778,0,0,0,0,0,
Jake Haener,J.Haener,QB,NO,2025,8,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,22,11,0,-1.55629123060498,2.0,226,39,18,1,1,-14.9484791537611
Trey Palmer,T.Palmer,WR,TB,2025,15,reg_2024_baseline,172,12,22,1,5.94501059522736,0.0390763765541741,0.0793850806451613,0.114184121282874,0.5454545454545454,,,0,0,0,,,0,0,0,0,0,
Will Levis,W.Levis,QB,TEN,2025,12,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,183,45,0,-17.4965542566902,4.066666666666666,2091,301,190,13,12,-65.5189321402618
Dante Miller,D.Miller,RB,NYG,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Johnny Wilson,J.Wilson,WR,PHI,2025,10,reg_2024_baseline,38,5,15,1,-1.15410872104658,0.0358851674641148,0.0422049956933678,0.0833712481815297,0.3333333333333333,,,0,0,0,,,0,0,0,0,0,
Chris Collier,C.Collier,RB,LV,2025,6,reg_2024_baseline,-4,1,2,0,-1.59818496718071,0.0043763676148796,-0.0012013455069678,0.005723609567442,0.5,,,12,5,0,-3.00471946189646,2.4,0,0,0,0,0,
Baylor Cupp,B.Cupp,TE,KC,2025,1,reg_2024_baseline,0,0,1,0,-0.678179833921604,0.0017482517482517,0.0,0.0026223776223776,0.0,,,0,0,0,,,0,0,0,0,0,
Carson Steele,C.Steele,RB,KC,2025,13,reg_2024_baseline,26,7,11,0,-2.9024881075602,0.0192307692307692,-0.0044666316342616,0.0257195117021707,0.6363636363636364,,,183,56,0,-11.9836104627345,3.267857142857143,0,0,0,0,0,
